0,Generalidades 
1,Conocimiento 
2,El libro 
3,Sistemas 
4,Procesamiento de datos Ciencia de los computadores 
5,"Programación de computadoras, programas, datos "
6,Métodos especiales de computación 
10,Bibliografía 
11,Bibliografías 
12,De individuos 
13,De obras por clases específicas de autores 
14,De obras anónimas & seudónimas 
15,De obras de lugares específicos 
16,De obras sobre temas específicos 
17,Catálogos generales por materia 
18,Catálogos ordenados por autor & fecha 
19,Catálogos diccionario 
20,Bibliotecología & ciencias de la información 
21,Relaciones de bibliotecas 
22,Administración de la planta física 
23,Administración de personal 
25,Operaciones bibliotecarias 
26,Bibliotecas para temas específicos 
27,Bibliotecas generales 
28,"Lectura, uso de otros medios de información "
30,Enciclopedias generales 
31,Norteamericanas 
32,En inglés 
33,En otras lenguas germánicas 
34,"En francés, provenzal, catalán "
35,"En italiano, rumano, retorromano "
36,"En español, & portugués "
37,En lenguas eslavas 
38,En lenguas escandinavas 
39,En otras lenguas 
50,Publicaciones en serie generales 
51,Norteamericanas 
52,En inglés 
53,En otras lenguas germánicas 
54,"En francés, provenzal, catalán "
55,"En italiano, rumano, retorromano "
56,En español & portugués 
57,En lenguas eslavas 
58,En lenguas escandinavas 
59,En otras lenguas 
60,Clasificaciones generales & museología 
61,En América del Norte 
62,En las Islas Británicas En Inglaterra 
63,En Europa central En Alemania 
64,En Francia & Mónaco 
65,En Italia & territorios adyacentes 
66,En la Península Ibérica & islas adyacentes 
67,En Europa oriental Rusia 
68,En otras áreas 
69,Museología (Ciencia de los museos) 
70,"Medios noticiosos, periodismo, publicación "
71,En América del Norte 
72,En las Islas Británicas En Inglaterra 
73,En Europa central En Alemania 
74,En Francia y Mónaco 
75,En Asia y territorios adyacentes 
76,En la Península Ibérica & islas adyacentes 
77,En Europa oriental En Rusia 
78,En Escandinavia 
79,En otras áreas 
80,Colecciones generales 
81,Norteamericanas 
82,En ingles 
83,En otras lenguas germánicas 
84,"En francés, provenzal, catalán "
85,"En italiano, rumano, retorromano "
86,En español & portugués 
87,En lenguas eslavas 
88,En lenguas escandinavas 
89,En otras lenguas 
